"INDEX_NR","INCIDENT_DATE","AIRPORT","STATE","OPERATOR","AIRCRAFT","COST_REPAIRS_INFL_ADJ","SPECIES","REMARKS"
616927,1994-09-12,"ARCO HIGH ISLAND HELIPORT","TX","BUSINESS","BELL-206",NA,"Unknown bird - small","FEATHERS & BIRD PARTS ENTERED LEFT FRONT OF HELICOPTER BUT  PASSENGER COULD SEE NO DAMAGE. RETURNED TO HIA-126, SHUT DOWN &  EXAMINED A/C. HALF OF A SMALL BIRD STUCK IN INLET LOUVERS OF  PASSENGER'S AIR VENT ENTRANCE. OTHER HALF OF BIRD HAD COME  THROUGH THE LOUVERS, THROUGH THE AIR DUCT, & INTO A/C.  LOUVERS  WERE SLIGHTLY DENTED IN ONE PLACE. NO OTHER DAMAGE. CLEANED A/C &  CONTD. FLT."
617234,1993-06-11,"BILLINGS LOGAN INTL","MT","DELTA AIR LINES","B-727-200",NA,"Golden eagle","NO DAMAGE"
623810,1991-09-02,"STEAMBOAT SPRINGS ARPT/BOB ADAMS FIELD","CO","PRIVATELY OWNED","STINSON 108",NA,"Mule deer","DURING T/O ROLL, JUST AFTER THE TAIL CAME UP, THE PILOT SAW A  DEER ON THE RWY.  EVASIVE ACTION CAUSED THE A/C TO DEPT THE RWY &  OVERTURN. A/C WAS SUBSTANTIALLY DAMAGED. 2 CREW SUSTAINED MINOR  INJURIES."
632190,1997-11-11,"BELUGA AIRPORT","AK","SOUTH CENTRAL","PA-31 NAVAJO",NA,"Moose","HIT MOOSE ON T/O. NO INJURIES. DAMAGE TO E WINGTIP & SPAR. NTSB REPTD DMG AS SUBSTANTIAL."
633738,1996-03-31,"UNKNOWN",NA,"US COAST GUARD","SIKORSKY UH-60",2545,"Bald eagle","ENGAGED IN FIRST LIGHT SEARCH OF OVERDUE BOATER IN THE WATERS NEAR SITKA. AN EAGLE WAS SEEN DIRECTLY IN FRONT OF A/C. TRIED TO AVOID EAGLE BUT IT HIT ON THE CO/P SIDE JUST INBD OF L PITOT TUBE. CREW ASSESSED DMG AND  COMPLETED AN UNEVENTFUL LDG. REPTD AS EAGLE,  ASSUME BALD FROM LOCATION. A/C = HH 60J"
636509,1990-12-23,"KENAI MUNICIPAL ARPT","AK","MARKAIR","DHC6",NA,"Moose","ON LDG ROLLOUT, STRUCK A MOOSE. BENT PROPELLER BLADES. VISIBILITY LESS THAN A MILE. FOG."
638646,2007-05-31,"WINNIPEG INTL","MB","SKYWEST AIRLINES","CRJ100/200",NA,"Unknown bird - small","AT NIGHT, A BIRD FLASHED BY. FOUND EVIDENCE ON LE OF RT WING AND RT LWR ENG COWL."
638856,2000-03-15,"KAHULUI ARPT","HI","HAWAIIAN AIR","DC-9-50",NA,"Upland sandpiper","DOWN & BLOOD STREAKS ON SIDE OF NOSE."
643351,2000-08-31,"LA GUARDIA ARPT","NY","PRO AIR","B-737-400",NA,"Unknown bird - large","BOTH MIDDLE AND INNER PANE WERE SHATERED SPRAYING COCKPIT WITH GLASS. OUTER PANE SEVERELY STRESSED AND FRACTURED. CAPT WAS SPARED EYE INJURY DUE TO GLASSES. SLOWED A/C TO 210 KTS & BECAUSE OF THE CREAKING SOUND & GLASS SHARDS COMING OFF THE WINDOW WE DEPRESSURIZED A/C. CONCUSSION WAVE CAUSED BY THE IMPACT CAUSED PILOTS TO HAVE RINGING EARS FOR SEVERAL HOURS AFTER & 6 HRS LATER MY FACE FEELS LIKE IT HAS A SUN BURN. CAPT INJURED BY GLASS. TAKEN TO HOSPITAL AS PRECAUTION AND RELEASED. PHOTO ATTACHED. PLANE OUT OF SVC 2 DAYS LOOKING FOR A WINDOW. CAPT THOUGHT BIRD MAY HAVE BEEN A CANADA GOOSE BECAUSE HE SAW BROWN FEATHERS."
647707,2001-01-14,"TROY MUNICIPAL ARPT","AL","BUSINESS","LEARJET-60",16796000,"White-tailed deer","HIT 2 DEER AND RAN OFF RWY. THRUST REVERSERS WERE NOT WORKING. PLANE WENT INTO A DITCH, BURST INTO FLAMES AND WAS DESTROYED. PILOT AND PAX WERE CRITICALLY INJURED: 2 BREAKS OF THE PELVIC BONE, 4 FRACTURED VERTEBRAE, CRUSHED RIGHT HIP, RT LEG PULLED FROM SOCKET AND VARIOUS CUTS AND BURNS. 2ND PILOT HAD CRUSHED L FOOT, CRUSHED L-3 LUMBAR, 2 FRACTURES & PUNCTURED L TIBIA AND 8 FRACTURES ON L ARM. RESCUERS KEPT THE FIRE AWAY FROM THE MEN  FOR 40 MINS UNTIL THEY COULD BE REMOVED FROM THE COCKPIT.  THIS WAS THE 2ND DEER STRIKE FOR THIS PLANE IN A MONTH. NTSB REPT WAS UPDATED 4/5/10. CAUSE WAS COLLLISION WITH DEER AND INADVERTENT THRUS REVERSER STOWAGE CAUSED BY DAMAGE TO LDG GEAR SQUAT SWITCH AND SUBSEQUENT APPLICATION OF FORWARD THRUST DURING ROLLOUT."
654131,2003-03-30,"TAVERNAERO PARK","FL","PRIVATELY OWNED","BE-36",NA,"Domestic/feral dog","NOT A STRIKE. PILOT SAW DOG DURING T/O ROLL. HE PULLED UP TO AVOID IT AND THE A/C ROLLED AND LEFT WING HIT THE GROUND. A/C THEN HIT TREES AND WAS DESTROYED. TWO PEOPLE HAD MINOR INJURIES (SMALL CUTS) NTSB SAYS SUBSTANTIAL DMG, PILOT REPTS IT WAS DESTROYED. AC = BE A36 SPEED = 65 KTS"
655125,2001-08-20,"DENVER INTL AIRPORT","CO","UNKNOWN","UNKNOWN",NA,"American badger","REMOVED A VERY LARGE BADGER AT THE 6000' DRM. BURIED.  TIME  0640."
661679,2003-10-22,"TED STEVENS ANCHORAGE INTL","AK","UNKNOWN","LEARJET",NA,"Moose","NOT A STRIKE, BUT AFFECTED FLT.  LEAR ON APCH HAD TO GO AROUND DUE TO MOOSE ON RWY. RWY CLOSED 4 MINS."
680764,2006-07-13,"SAN FRANCISCO INTL ARPT","CA","UNKNOWN","UNKNOWN",NA,"Golden eagle","REMAINS OF BIRD CARCAS ON RWY 19L LEVEE FOUND AT ABOUT 1830. BIRD WAS WEDGED IN THE ROCKS NEAR THE NW STAIRS OF THE LEVEE. ID BY SMITHSONIAN, FAA 1497"
682848,2006-09-29,"NORMAN Y. MINETA SAN JOSE INTL ARPT","CA","UNKNOWN","UNKNOWN",NA,"Golden eagle","STRIKE NOT REPTD TIME 1730, DAY."
685260,2007-07-22,"NORMAN Y. MINETA SAN JOSE INTL ARPT","CA","UNKNOWN","UNKNOWN",NA,"Golden eagle","REMAINS FOUND ON RWY 30R NEAR TWY GOLF DURING RWY INSPN. TIME 1410. STRIKE NOT REPTD"
685781,2007-09-27,"UNKNOWN",NA,"BUSINESS","EC130",453000,"Golden eagle","ID BY SMITHSONIAN, FAA 2104. SIGHTSEEING FLIGHT WAS TRAVERSING A BLUFF AREA BTWN COLORADO RIVER AND ARPT.  RAPTOR ENTERED THRU PILOT'S WINDOW PASSING INTO BACK ROW OF SEATS. HIT 1 PAX ON HEAD AND CUT 2ND ON THE ARM. PILOT HAD SOME BRUISING AND SCRATCHES. FRONT PILOT'S SIDE,  MIDDLE WINDOW & WINDOW SUPPORTS DMGD. ONE REPORT INDICATED SOME ROTOR DMG. PILOT MADE PREC LDG AT NEAREST FACILITY, UNCONTROLLED PEARCE FERRY ARPT."
690317,2008-04-12,"UNKNOWN",NA,"PRIVATELY OWNED","PA-18 SUPER CUB",NA,"Golden eagle","NO DMG EVASIVE MANEUVERS. PILOT SAW EAGLE CIRCLING AT SAME ALTITUDE AS A/C. AS HE GOT CLOSER HE NTICES THE BIRD WASN'T  GIVING WAY OR DIVING LIKE THEY USUALLY DO.  PILOT STARTED TO CLIMB. HE SAW THE EAGLE CUP ITS WINGS, CLAWS STRETCHED OUT AND IN FULL ATTACH SETTING. PILOT PULLED HARD ON THE TICK AND BIRD HIT THE LANDING GEAR. THE BIRD WAS CAUGHT IN IT. PHOTOS."
690699,2007-10-31,"DANE COUNTY REGIONAL ARPT-TRUAX FLD","WI","BUSINESS","C-550",75953,"Whooping crane","JUVENILE WHOOPING CRANE. SAW 4, HIT 1. LEFT INBD FLAP DMG. HAD TO RENT A FLAP WHILE REPAIRS WERE BEING MADE. THIS CRANE WAS PART OF THE FLOCK THAT WAS BEING TRAINED TO MIGRATE BY OPERATION MIGRATION AND WAS KNOWN AS DAR 741."
692878,2008-03-10,"DENVER INTL AIRPORT","CO","FRONTIER AIRLINES","A-319",86983,"Canada goose","ID BY SMIITHSONIAN, FAA 2363. HIT A FLOCK OF CANADA GEESE ON 1 MILE FINAL. DECLARED AN EMERGENCY DUE TO SMOKE IN THE COCKPIT AND DMG TO A/C. NOTAMS HAD BEEN ISSUED FOR MIGRATORY BIRDS AND WAS ALSO ON ATIS. LOSS OF FLUIDS NEAR TWY E/D AND ALSO BRAKE AND HYDRAULIC PROBLEMS. HAD TO BE TOWED. NOSE COWL DENTED. RADOME WAS REPLACED. NO ENG DMG."
698618,2008-12-25,"UNKNOWN",NA,"BUSINESS","EC130",14550,"White-tailed tropicbird","BIRD REPTD AS WHITE TAIL OR KAUAI TROPIC BIRD. HELICOPTER TOUR WITH 6 PAX ON BOARD OFF SHORE ALONG TUNNLES REEF NORTH SHORE OF KAUAI. CENTER WINDHSLD TOOK A DIRECT HIT MIDLEVEL. NEVER SAW BIRD. SOUNDED LIKE A CANNON BALL COMING THRU. COMPLETE SHATTERING OF CENTER LARGE WINDSHLD WITH BIRD ENERING COCKPIT AND STRIKING CENTER PAX IN FACE AND L SHOULDER. BIRD LANDED IN BACK SEAT. GLASS SHARDS COMPLETELY BLEW INTO A/C AND HIT PILOT & OTHER PAX. PILOT GOT CUTS ON RT HADN, THIGN AND UPPER ARM. I DID HAVE SAFETY SUNGLASSES ON AND IT SAVED MY EYES. RAING AND LOTS OF WIND COMING IN. SLOWED FROM 100 KTS TO 10 KTS AND LANDED AT PRINCEVILLE ARPT WHICH WS 5 MINS AWAY. CENTER PAX WENT TO ER. SHE WAS RELEASED WITH NO  MAJOR INJURIES. I WAS FIND WITH ONLY SML CUTS AND ABRASIONS. RETURNED TO WORK NEXT DAY. WITH 16 YRS OF TOURS ON KAUAI AND OVER 16,000 HRS OF TOURS ON KAUAI AND 3 BIRDSTRIKES DURING MY CAREER THIS WAS BY FAR THE WORST HIT AND COMPLETE LOSS OF A WINDSHLD IHAVE SEEN. A/C ROCKED AND SHUDDERED WITH THE IMPACT. HOLE WAS 4 FT LONG AND 2.5 FEET WIDE. COSTS ARE APPROX."
700640,2009-02-03,"DENVER INTL AIRPORT","CO","UNITED AIRLINES","B-757-200",20440000,"Bald eagle","ID BY SMITHSONIAN, FAA 3023 AND 3075.  WHOLE FEATHER, MICRO AND DNA ANALSIS USED. WHILE CLIMBING THRU 7500 FT MSL, PILOT REPORTED SEEING A LARGE BIRD AND WATCHED IT FOR SEVERAL SECONDS. HE THOUGHT PERHAPS AN EAGLE. . BIRD HIT UPPER SIDE OF #2 ENG COWLING MAKING  A 1-2 FT DENT BEFORE ENTERING THE ENGINE, WHERE IT DAMAGED ALL FAN BLADES. CREW REPTD 2 ENG SURGES AFTER THE EVENT BUT THE ENG CONTINUED TO PRODUCE THRUST. SMELL OF BURNT BIRD CAME THRU THE CABIN. PILOT DID NOT SHUT DOWN THE ENG.  AN AMBER ALERT PRECAUTIONARY LANDING WAS MADE. EMERGENCY VEHICLES RESPONDED. USDA/WS RESPONDED TO COLLECT SNARGE. MECHANICS WERE ADVISED TO COLLECT OTHER REMAINS/SNARGE WHEN THE WORKED ON THE ENGINE. MX STATED MINIMUM DMG WOULD BE $14-20 MILLION IN DIRECT COST. USDA WILL FOLLOW UP ON TOTAL COST OF DMG AND HRS OUT OF SERVICE. OTHER DM INCLUDED ACOUSTICAL PANELS AND INLET COWL. LOCAL NEWS REPORTED A PASSENGER SAID THERE WAS DEFINITELY PANIC ON BOARD BUT THERE WASN'T HYSTERIA AFTER THE STRIKE.  (DATA ENTRY NOTE: AAIPN REPTD DMG AS MINOR)"
708986,2010-02-03,"MIDLAND INTL","TX","UNKNOWN","UNKNOWN",NA,"Sprague's pipit","ID BY SMITHSONIAN. FAA 4057. WHOLE FEATHER. DNA.  FOUND DURING AIRFLD INSPN. 1155 AM DAY."
709276,2010-02-25,"SALT LAKE CITY INTL","UT","UNKNOWN","UNKNOWN",NA,"Golden eagle","DURING ROUTINE RWY INSPN, INJURED GOLDEN EAGLE OBSERVED IN SAFETY AREA OF RWY 34L. EAGLE HAD A BROKEN WING AND SCUFF MARKS ON ITS CLAWS. NO OTHER INJURIES OBSERVED. EAGLE CAPTURED AND GIVEN TO LOCAL RAPTURE REHAB EXPERT.  1645 PM DAY."
714722,2010-08-22,"YAMPA VALLEY","CO","BUSINESS","LEARJET-35",NA,"Golden eagle","SMALL PART OF BIRD WING MISSING. REST OF BIRD REMAINS WERE INTACT."
715043,2010-09-11,"ONTARIO INTL ARPT","CA","SOUTHWEST AIRLINES","B-737-300",NA,"Golden eagle","ON SHORT FINAL, HIT SUSPECTED HAWK ON LEFT WINGLET. NO DMG. A/C RETD TO SERVICE SOON AFTER A MX INSPN. BIRDERS FOUND THE EAGLE THE FOLLOWING DAY WITH WING SEVERED, BARELY ALIVE. THEY TOOK THE EAGLE BUT IT DIED. IT WAS GIVEN TO SOUTH BAY REHAB AND WILL BE SENT TO DEPOSITORY IN COLORADO. IT WAS FOUND 1.3 MILES AWAY FROM THE ARPT IN AN OPEN FIELD IN THE FLIGHT PATH."
716359,2010-10-21,"WASHINGTON DULLES INTL ARPT","DC","JETBLUE AIRWAYS","A-320",NA,"Bald eagle","NO APPARENT DAMAGE TO A/C. BIRD TAKEN TO WILDLIFE CENTER AND RECOVERED. 8.6LB MATURE MALE. ATIS WARNING. RWY OPEN AGAIN AT 2100."
718113,2010-11-22,"DENVER INTL AIRPORT","CO","UNKNOWN","UNKNOWN",NA,"Golden eagle","NO PIREP OF STRIKE, REMAINS FOUND ON REGULAR INSPN OF RWY. NO DMG REPTD. TIME FOUND, 1500. (DATA ENTRY NOTE: UAL FLT 369 HIT A BIRD JUST AFTER LIFTOFF. UNABLE TO CONFIRM IF THIS WAS THE BIRD THEY HIT.)"
721450,2011-06-16,"HENDERSON FIELD","UM","DELTA AIR LINES","B-747-400",NA,"Laysan albatross","WHILE ENRT, PILOTS NOTICED A LRG CRACK IN THE WINDSHLD FORCING THEM TO DISCONTINUE THE FLT. THEY DIVERTED TO MIDWAY ISLAND ARPT. ON APCH THEY HAD A DOUBLE BIRDSTRIKE. JUST PRIOR TO T/D A/C HIT A WHITE TERN OFF THE FUSELAGE. NO DMG FROM THAT BIRD. ONCE PARKED, A LAYSAN ALBATROSS CARCASS WAS STUCK IN THE RT REAR FLAP (PHOTO) WHICH DAMAGED THE FLAP SIGNIFICANTLY. HOLE WAS 3"" BY 15"". MECHANICS HAD TO BE FLOWN IN FOR REPAIRS.PAX WAITED ON BOARD UNTIL A REPLACEMENT JET WAS PROVIDED WITHIN 16 HRS."
