"INDEX_NR","INCIDENT_DATE","AIRPORT","STATE","OPERATOR","AIRCRAFT","COST_REPAIRS_INFL_ADJ","SPECIES","REMARKS"
722451,2011-07-13,"SOUTHWEST FLORIDA INTL ARPT","FL","AIRTRAN AIRWAYS","B-717-200",NA,"Least bittern","BIRD STRIKE DURING T/O ROLL. NO EFFECT ON FLT. PART STRUCK UNKN."
734377,2012-08-09,"MONTEREY PENINSULA","CA","BUSINESS","GULFSTREAM V",NA,"Golden eagle","ID BY SMITHSONIAN. 2 IMMATURE BIRDS FOUND. BIRDS WERE SITTING ON RWY AND FLEW UP INTO THE A/C HITTING NEAR THE DOOR. NO DMG."
736010,2012-08-07,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","FOUND AT 0745, DAY.  ID CONFIRMED BY BIRD SPECIALIST."
737556,2012-10-06,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","FOUND ON RWY DURING INSPN."
737723,2012-10-10,"WILL ROGERS WORLD ARPT","OK","SOUTHWEST AIRLINES","B-737-300",NA,"Sprague's pipit","ID BY SMITHSONIAN. HIT LEFT PILOT WINDOW AND FUSELAGE. NO DMG. BLOOD SMEAR ON WINDOW."
739153,2012-12-07,"CENTENNIAL ARPT","CO","BUSINESS","C-172",6820,"Bald eagle","WHILE ON 1/2 MILE FINAL, BIRD SHATTERED WINDSHIELD. BOTH PILOTS RECEIVED SMALL FACIAL LACERATIONS. THE BIRD WAS LARGE WITH A WHITE HEAD AND TAIL. REPORTED AS A BALD EAGLE. LATER REMAINS WERE FOUND AND ID CONFIRMED BY USDA/WS. THERE HAVE RECENTLY BEEN LOTS OF REPORTS FROM TOWER AND ON THE ATIS FOR FLOCKS OF BIRDS IN THE AREA."
739530,2012-12-24,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Sprague's pipit","FOUND BIRD JUST S OF C/L ON RWY 13 DURING RWY INSPN. 745 AM DAWN."
740251,2013-03-08,"UNKNOWN",NA,"PRIVATELY OWNED","CIRRUS SR 20/22",6720,"Golden eagle","ID BY SMITHSONIAN. LARGE BIRD STRUCK 20 NM S OF UNV. PILOT MADE A PREC LDG TO INVESTIGATE THE DAMAGE. LDG GEAR FAIRING WAS DAMAGED. MECHANIC ESTIMATES REPAIR TO BE $5000 PLUS $500 FOR INSPN."
740605,2013-03-22,"DENVER INTL AIRPORT","CO","SPIRIT AIRLINES","A-320",NA,"Golden eagle","PIREP OF BIRDSTRIKE. REMAINS FOUND ON RWY AT 7500 FEET DIST REM. DMG TO A/C UNKNOWN. A/C TAKEN OUT OF SERVICE FOR INSPN."
741668,2013-05-19,"DENVER INTL AIRPORT","CO","UNITED AIRLINES","A-319",NA,"Golden eagle","ARPT BIOL HAD NOT ADDITIONAL INFORMATION. BIRD WAS FOUND INTACT AND STILL ALIVE FOR A SHORT PERIOD OF TIME. (DATA ENTRY NOTE: CONTACTED UAL TO FOLLOW UP)"
741997,2013-05-13,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","BIRD FOUND AT INTXN OF 13/31 AND A3 AT MCALLEN INTNL ARPT DURING ROUTINE NIGHT AIRFLD INSPN. 2050 PM NIGHT."
743292,2013-06-27,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","840 AM DAY."
750677,2013-11-24,"DENVER INTL AIRPORT","CO","FRONTIER AIRLINES","A-319",NA,"Golden eagle","PILOT REPTD STRIKE UPON T/D TO RWY 35L. MX INSPECTED A/C AND DETERMINED BIRD STRUCK THE NOSE GEAR WITH NO DMG. REMAINS COLLECTED FROM RWY APPROX 3000 FEET FROM T/D."
752195,2014-03-14,"UNKNOWN",NA,"AMERICAN AIRLINES","B-737-800",NA,"Sprague's pipit","ID BY SMITHSONIAN. UNCONFIRMED LOCATION OF STRIKE. KDFW COLLECTED AND RECVD SNARGE FROM MX ON INCIDENT DATE. FOUND KDFW. 100 AM DAY."
752323,2014-03-10,"HENDERSON FIELD","UM","US COAST GUARD","LOCKHEED C-130",NA,"Bonin petrel","UPON FURTHER INVESTIGATION, A SECOND PETREL WAS FOUND NEATLY CUT IN TWO AND THE INITIAL PETREL LAY ON THE GROUND FROM SOME TYPE OF TRAUMA."
757216,2014-07-02,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","08:20 AM DAY"
759304,2014-08-18,"BRANDON MUNICIPAL","MB","BUSINESS","C-441 CONQUEST",66150,"Cedar waxwing","ID BY SMITHSONIAN. MULTIPLE SPECIES.  PHOTOS. THE ONLY INDICATION IN FLIGHT WAS A MOMENTARY ENGINE SOUND FLUCUTATION AND A 30 SECOND SMELL FROM VENTILATION SYSTEM. BORESCOPE INSPN REVEALED BIRD MATTER INSIDE ENG WHICH REQD AN EXTENSIVE BIRD INGESTION INSPN. (DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 1. FOLLOW UP WITH REPORTED FOUND THAT NO BIRDS WERE SEEN BUT A PHOTO WAS SENT OF BIRD REMAINS AND THEY DO NOT MATCH THE ID PROVIDED BY SMITHSONIAN. THE BIRD WAS MUCH LARGER. ALL REMAINS LIKELY NOT SENT FOR ID)"
762245,2014-10-25,"FRONT RANGE ARPT","CO","BUSINESS","AEROS 350",NA,"Ducks","PILOT HAD JUST COMPLETED A PRACTICE APCH TO RWY 35 AND WAS OVERFLYING THE RWY WHEN THE A/C COLLIDED WITH  A FLOCK OF DUCKS. ONE WENT THRU THE WINDSHLD AND ONTO THE PILOT. THE CO/P TOOK OVER CONTROL AND PROCEEDED TO RWY 26 AND HOVERED TO R2 TWY. LANDED SAFELY AT THEIR HANGER. THERE WAS A 12"" HOLE IN THE WINDSCREEN. THE PILOT RECEIVED CUTS AND SCRATCHES FROM THE WINDSHLD SHARDS AND WAS COVERED WITH BLOOD AND DUCK REMAINS. (DATA ENTRY NOTE: CHECKING WITH REPORTER FOR ID, COST AND AOS)"
764856,2014-12-06,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","8:25 AM DAY"
772275,2015-08-27,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","8:14 AM DAY"
772802,2015-08-29,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","8:10 AM DAY"
772973,2015-08-22,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","8:00 AM DAY"
773660,2015-09-29,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","0725AM DAY."
775426,2015-10-22,"NORMAN Y. MINETA SAN JOSE INTL ARPT","CA","UNKNOWN","UNKNOWN",NA,"Golden eagle","1415 DAY."
775495,2015-10-25,"DALLAS/FORT WORTH INTL ARPT","TX","UNKNOWN","UNKNOWN",NA,"Sprague's pipit","ONE UNKOWN SMALL SONGBIRD FOUND 60 FEET E OF RWY 31R C/L AND 300 FEET S OF TWY R3 C/L DURING CFR DRI. 950 DAY."
776921,2015-11-20,"NORMAN Y. MINETA SAN JOSE INTL ARPT","CA","BUSINESS","GULFSTREAM V",NA,"Golden eagle","STRUCK A/C LT WING WHILE ON LANDING FLARE FOR RWY 30L. OPS COLLECTED THE REMAINS OF ONE GOLDEN EAGLE FROM RWY 30L UPON IMMEDIATE RWY INSPN. LOCAL USFWS AND EAGLE REPOSITORY NOTIFIED BY PHONE MESSAGE UPON COLLECTION OF BIRD REMAINS. VISIBLE DMG TO LEFT  WING FLAP OBSERVED UPON INSPN. EXTENT OF DMG TO A/C UNKNOWN AT TIME OF REPORT."
777391,2015-11-06,"DALLAS/FORT WORTH INTL ARPT","TX","UNKNOWN","UNKNOWN",NA,"Sprague's pipit","DURING DRI, ONE BIRD FOUND.  RWY 36R, 85' E RWY C/L, 450' S TWY WN C/L.  8:30 AM DAY"
778721,2016-03-30,"SAN ANGELO REGNL ARPT/MATHIS FIELD","TX","ENVOY AIR","EMB-145",NA,"Sprague's pipit","NO DMG."
789472,2016-11-14,"NORMAN Y. MINETA SAN JOSE INTL ARPT","CA","UNKNOWN","UNKNOWN",NA,"Golden eagle","No pilots reported hitting the bird. Found in the middle of the Runway. Eagle Repository and Migratory Bird Permit Office were notified of the strike via voicemail."
798376,2017-08-14,"DENVER INTL AIRPORT","CO","UNKNOWN","UNKNOWN",NA,"Golden eagle","Golden Eagle reported on runway by departure aircraft. Bird found dead upon runway inspection. Unknown if bird was physically struck or killed by jet-wash. No reported strikes or damages. Time found 1800"
800265,2017-10-10,"UNKNOWN",NA,"SOUTHWEST AIRLINES","B-737-800",NA,"Least bittern","PILOT DISCOVERED ON PRE-TRIP INSPECTION, NOT REPORTED BY CREW LAST NIGHT. NOTE: Number of birds struck not reported, assume 1. FOUND KISP."
802576,2018-02-23,"UNKNOWN",NA,"UNITED AIRLINES","B-737-800",NA,"Sprague's pipit","Pilot unaware of strike (original info was incorrect). UAL mx collect remains from the RH MLG with no damages reported. Species of bird determined origin of strike at LAS on departure at 0643h (Flight Aware).  SPECIES SUGGESTS STRIKE LOCATION NOT LAX. FOUND KLAX."
806156,2017-03-24,"SALT LAKE CITY INTL","UT","PRIVATELY OWNED","CITATIONJET",28116,"Golden eagle","MOR Remarks: N551BC reported a birdstrike on an 8 mile final to RWY16R.  N551BC reported some control issues with the aircraft.  Emergency personnel dispatched to the aircraft.  N551BC landed without incident and exited RWY16R.  Emergency personnel responding to the aircraft reported a large divot on the aircraft's left elevator above the engine and below the stabilizer.  N551BC asked to call the tower to discuss the nature of the damage. /Remarks from 5200-7 or other report: NOTE: PHASE OF FLT NOT REPTD"
809698,2017-08-15,"DENVER INTL AIRPORT","CO","UNITED AIRLINES","B-737-700",NA,"Golden eagle","UAL1975 B737 REPORTED BIRD STRIKE DEPARTING RUNWAY 34L ON ROTATION. OPERATIONS 9 ADVISED TOWER BIRD STRIKE WAS A GOLDEN EAGLE. UAL1975 REPORTED NO KNOWN DAMAGE. LC4, 135.3"
812547,2018-08-21,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","DAWN 705."
812841,2018-08-26,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","DAY 705. SPECIES IDENTIFIED AS PAURAQUE"
815329,2017-06-04,"PRIVATE AIR STRIP",NA,"PRIVATELY OWNED","AERONCA 7AC CHAMPION",NA,"Moose","NOT A STRIKE BUT A NEGATIVE EFFECT ON FLIGHT. AVOIDANCE MANEUVER. The pilot reported that, after landing on a gravel airstrip (Mackey Lake Grass Airstrip)  during the taxi, a moose cow and calf ran onto the airstrip, moving from the pilot's right to left. She added that she veered to the left to avoid the animals and the airplane struck a tree. The airplane sustained substantial damage to the fuselage. NTSB probable cause and findings: The pilot's abrupt maneuver to avoid the moose cow and calf during taxi, which resulted in an impact with a tree."
820777,2018-10-11,"JACKSONVILLE INTL","FL","FEDEX EXPRESS","B-757-200",NA,"Least bittern","MOR Remarks: FDX1057 ADVISED JAX LOCAL CONTROL UPON ARRIVAL THAT THEY HAD A BIRD STRIKE OCCUR. UNKNOWN IF NAY DAMAGE OCCURRED. THE PIC CALLED JAX FLM AND A BIRD STRIKE INCIDNET/INGESTION REPORT WAS FILLED OUT AND SUBMITTED.  Other Remarks: No damage. Hit on fuselage just above f/o windshield. NOTE: Final runway 32 at1000' AGL"
824977,2019-04-30,"MOBILE DOWNTOWN ARPT","AL","UNKNOWN","UNKNOWN",NA,"Least bittern","TIME 530."
896477,2019-06-09,"VANCOUVER INTL","BC","AMERICAN AIRLINES","B-737-800",NA,"Golden eagle","Tower delayed landing clearance stating vehicle on the runway clearing birds. Clearance given with warning that birds were 200 ft agl on final. I saw 3 birds at 250 ft on final. I assumed they were the birds reported. Reported them to tower.Just as we were in the flare we saw 3 large birds directly on centerline. Appeared to be focused on something on the runway or just decided to land on that point. The went airborne just as we were in the flare. Two went left and one went right. We didn't hear anything or have any adverse engine indications or smells in the aircraft. We reported a possible strike to tower. The ground vehicle rechecked the runway and reported debris left of centerline.We notified company and local maintenance personnel met us on arrival and confirmed a bird strike.  We ingested a bird (possibly two based on the amount of debris) in the left engine.Most of the debris seemed to be concentrated on the outer edges of the stator vanes.Dollar amount of damage is unknown to me. I simply put a number in to allow the system to accept my report.Golden Eagle."
910521,2019-06-30,"EXECUTIVE ARPT","FL","UNKNOWN","UNKNOWN",NA,"Least bittern","Least Bittern found on runway during routine runway inspection."
935515,2019-04-01,"SIERRA VISTA MUNI ARPT-LIBBY ARMY AIRFIELD","AZ","US CUSTOMS AND BORDER PROTECTION","DRONE",NA,"Northern house wren","Evidence of the bird strike on the payload camera was found after landing. Since the long range camera (where the bird struck) was used during the enroute portion of the flight but not the approach, strike was presumed to occur during the approach or landing. There was no damage to the aircraft.changed from MQ9 (UA) to drone"
971529,2019-11-17,"DENVER INTL AIRPORT","CO","TRANS STATES AIRLINES","EMB-145",NA,"Golden eagle","Eagle body/wing found on RWY and head/wing found on TWY D5, fall off landing gear as it taxied in"
