"INDEX_NR","INCIDENT_DATE","AIRPORT","STATE","OPERATOR","AIRCRAFT","COST_REPAIRS_INFL_ADJ","SPECIES","REMARKS"
1431818,2023-02-24,"ORLANDO SANFORD INTL ARPT","FL","ALLEGIANT AIR","A-320",NA,"Bald eagle","We were taking off out of SFB on runway 9L. Weather was foggy with 2 miles vis reported.   The take off started out normal with the captain flying.  As the FO was making the 80 kt call I noticed a large dark colored bird take flight in front of us from right to left.  The first bird cleared the aircraft without a problem.  When it was clear we noticed a second large bird taking flight.  It was a bald eagle. We were below 100 kt so I rejected the take off in hopes of avoiding the bird.  It did not work and the bird hit the nose dome with a large thud.  We cleared the runway and let tower and company know we wanted to return to the gate.  The flight returned with no problem.  During the post flight inspection it was noticed bird debris on the nose cone and on number 1 engine spinner.ModelA320-214, Engine ManufacturerUnknownClassificationUnknownEngine ModelUnknownSECOND REPORT:No damage. Bald eagle located appx 1000' marker on 9L. Pilot stated they never saw bird due to fog until last moment. Two eagles crossed their path. MOR: AAY1313 (A320), cleared for take off RWY 9L, had a bird strike and exited RWY 9L at B3. AAY1313 taxied back to the gate without any extra assistance needed. Airport ops inspected RWY 9L and removed bird debris. No LoSS. AAY1313 will call if there is damage to the aircraft.   Update- Airport Ops called and advised no damage to the aircraft. Update- Pilot called and reported minor damage to engine 1. Paperwork has been filled out."
1434149,2009-01-15,"LA GUARDIA ARPT","NY","US AIRWAYS","A-320",52560000,"Canada goose","ID BY SMITHSONIAN, FAA 3000. NTSB DCA09MA026. A/C INCURRED MULTIPLE BIRDSTRIKES DURING INITIAL CLIMB, LOST THRUST IN BOTH ENGINES AND LANDED IN THE HUDSON RIVER. THERE WERE 150 PASSENGERS AND FIVE FLIGHT CREW  ON BOARD.  ONE SERIOUS INJURY WAS REPORTED. NO FATALITIES. PASSENGERS WERE RESCUED BY FERRY BOATS, POLICE BOATS AND US COAST GUARD.  ORGANIC SAMPLES (TISSUE, FEATHERS, ETC) WERE RECOVERED FROM AIRCRAFT FUSELAGE, A WING AND BOTH ENGINES BY USDA WS PERSONNEL. INSURANCE PAYMENT FOR AIRFAME AND ENGINES WAS $36 MILLION. SEE NTSB 213 PAGE REPORT FOR DETAILS."
1436444,2023-05-29,"EXECUTIVE ARPT","FL","BUSINESS","LEARJET-31",NA,"Sandhill crane","Appeared to be a Sandhill crane. NOTE: OWNER/ OPERATOR= BUNCH OF BIRDIES LLC/ Elite Air Inc.  NUMBER STRUCK NOT REPORTED ASSUME 1."
1437874,2007-10-12,"DENVER INTL AIRPORT","CO","SKYWEST AIRLINES","CRJ700",NA,"Sandhill crane","ID BY SMITHSONIAN. BIRDS FIRST REPTD AS GEESE.  PILOT REPORTED HITTING A FLOCK OF BIRDS. 1 WAS INGESTED, 1 DENTED THE LE OF L WING. PILOT HEARD 3-4 THUDS THEN RT ENG BEGAN RUNNING ROUGH.  PILOT REPTD TO TWR OF AN EMERG LANDING STATING HE DIDN'T THINK HE WAS GOING TO BE ABLE TO MAKE IT BACK TO THE AIRPT AND AN AMBER ALERT WAS DECLARED. PLANE LANDED AND TAXIED TO RAMP WHERE REMAINS WERE SCRAPED FROM THE LE OF WING. (ARPT LOG SHOWS STRIKE WAS OCT 12 NTSB REPORTS IT AS OCT 12 AND ENG MANU AS OCT 13). PHOTOS OF DMG. ALT REPTD AS 2500' AGL AND 1500' AGL. PILOT REDUCED ENG TO IDLE DUE TO HIGH FAN VIBES, NOT AN IN FLIGHT SHUT DOWN. FAN BLADE DMG. ENG REMOVAL DUE TO FAN EXIT GUIDE VANE DMG AND FAN CASE DMG. THE HPC WAS ACCEPTABLE."
1451111,2023-07-18,"AMSTERDAM SCHIPHOL","FN","DELTA AIR LINES","A-330",NA,"Common swift","A330-323, Engine ManufacturerP & WClassificationStandardEngine ModelPW4168ASmithsonian Wildlife/Species Identification:Common swift (Apus apus)Smithsonian Wildlife Identification Comments:species suggests strike occurred on departure from Amsterdam (AMS)"
1451347,2023-07-19,"SITKA ROCKY GUTIERREZ ARPT","AK","ALASKA AIRLINES","B-737-700",NA,"Bald eagle","On July 19th ASA62 reported possibly striking an eagle. After initial inspection no remains or evidence of strike was found. No effect on flight, aircraft continued on to Ketchikan. However, it looked like the eagle may have been caught in the jet blast on takeoff. It initially flew away without obvious complications. On July 21st around 8:30 am a juvenile bald eagle carcass was found within 250ft of the runway. It is suspected to be the same individual from July 19th. Likely deceased due to injuries sustained from jet blast."
1467780,2023-08-16,"UNKNOWN",NA,"UNITED AIRLINES","A-320",NA,"Least bittern","STRIKE DISCOVERED ON POST FLIGHT INSPECTION, SNARGE REMOVED FROM RIGHT INBOARD FLAP. FOUND KMCI. DAY. Smithsonian Wildlife/Species Identification:Least bittern (Ixobrychus exilis)"
1467792,2023-08-12,"PORTLAND INTL (OR)","OR","DELTA AIR LINES","B-737-900",NA,"American barn owl","Delta flight 547 reported striking a bird on landing on RWY 28R between A3 and A4. Airfield 1 conducted a runway inspection and found an injured barn owl on the north side of the runway. It was placed in a kennel, but passed shortly after. The aircraft was inspected and no damage or snarge was found. It is unknown where on the aircraft it struck.   737-932ER Engine ManufacturerCFM INTLClassificationStandardEngine ModelCFM56-7B27E. MOR: DAL547 REPORTED STRIKING A BIRD ON ROLLOUT ON RWY 28R. PILOT WAS PROVIDED TOWER NUMBER AND ADVISED TO REPORT ANY DAMAGE TO AIRCRAFT TO PDX. AIRFIELD VEHICLES FOUND BIRD REMAINS ON RWY 28R BETWEEN A3 AND A4. AT TIME OF SUBMITTING THIS REPORT, DAL547 HAD NOT CALLED THE TOWER TO REPORT DAMAGE. DEN WAS ADVISED OF INCIDENT AT 0606Z."
1467866,2023-08-17,"SIERRA VISTA MUNI ARPT-LIBBY ARMY AIRFIELD","AZ","US CUSTOMS AND BORDER PROTECTION","DRONE",NA,"Horned lark","Minimal remains and residue found on aircraft. MQ9 (UA)Smithsonian Wildlife/Species Identification:Horned lark (Eremophila alpestris)"
1480096,2023-11-29,"WATSONVILLE MUNICIPAL ARPT","CA","BUSINESS","C-172",82320,"Golden eagle","Damage to pilot side of horizontal stabilizer, with wrinkling of skin near vertical stabilizer and slight cant of tail section. PARKER HELICOPTER LLCSECOND REPORT:See uploaded PNG files.  Bird present to California Dept of Fish and Wildlife. FOUR PHOTOS. Left Horizontal stablizer. Smithsonian Wildlife/Species Identification:Golden eagle (Aquila chrysaetos)"
1482377,2023-10-23,"AMSTERDAM SCHIPHOL","FN","DELTA AIR LINES","A-330",NA,"Common chaffinch","Struck on left nose & right wing. Smithsonian Wildlife/Species Identification:Common chaffinch (Fringilla coelebs)Common chaffinch (Fringilla coelebs)Smithsonian Wildlife Identification Comments:Species indicates that strike occurred on previous leg of flight at Amsterdam Schiphol Airport (AMS). Two bags of remains received (nose and right wing). Both bags identified as Common Chaffinch.  Out of range species"
1487097,1996-08-23,"CHICAGO O'HARE INTL ARPT","IL","UNITED AIRLINES","B-737",NA,"Peregrine falcon","FLT 578 BIRD WAS ORIGINALLY REPTD AS A RED-TAILED HAWK BUT ADC  BIOL ID IT AS A PEREGRINE FALCON. USGS BAND # 220635880. JUVENILE  MALE. BODY GREAT SHAPE WITH SHOREBIRD. ORIGIN MILWAUKEE, WI"
1487759,2016-05-20,"KAKE ARPT","AK","BUSINESS","PA-31-350",NA,"American black bear","NOT A STRIKE BUT NEGATIVE EFFECT ON FLIGHT. BLACK BEARS ON THE RUNWAY AND THE PERIPHERY OF THE RUNWAY. ABORTED LANDING. GO AROUND AND LANDED OPPOSITE DIRECTION. COMMON OCCURRENCE AT KAKE, AK.2.12.24 REMOVED HEIGHT OF 50 PER RD SINCE WILDLIFE WAS ON THE AIRPORT"
1489343,2023-09-24,"GENERAL EDWARD LAWRENCE LOGAN INTL ARPT","MA","DELTA AIR LINES","B-737-900",NA,"Sharp-tailed sandpiper","The pilot reported hearing something hit the aircraft above the pilots window during their climb from Boston international airport. As per the pilot, they decided to divert to JFK airport after hearing a raddling noise as a precaution. During inspection of the aircraft. What appears to be a bird strike was found. Sample collected. No damage to the aircraft as per Delta Maintenance. 3 feet above the pilots window. Model: 737-932ER. Engine Manufacturer: CFM INTL. Engine Model: CFM56-7B27E. SI ID= Sharp-tailed sandpiper (Calidris acuminata)- Species is a rare but regular vagrant to the eastern US.  MOR: DAL640, B739, reported experiencing birdstrike at 080 with ZBW enroute to their destination.  No assistance was required.  ZBW issued A90 phone number to follow up after landing with any further information. JSEN notified. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1."
1503655,1995-08-11,"TALKEETNA ARPT","AK","PRIVATELY OWNED","EXPERIMENTAL",NA,"Moose","TIME = 1300 ADT. PILOT SAW MOOSE NEXT TO RWY DURING TAXI.  WHEN  A/C REACHED 25 MPH DURING T/O ROLL, THE PILOT SWERVED THE A/C TO SEE THE MOOSE AROUND THE NOSE OF THE A/C. THE A/C RESPONDED QUICKLY AND BEFORE HE KNEW WHAT HAPPENED, IT WENT OFF THE RWY INTO BUSHES AND NOSED OVER CAUSING SUBSTANTIAL DAMAGE. LOST CONTROL DURING AVOIDANCE MANUEVER"
1504308,2023-06-19,"HENDERSON FIELD","UM","US COAST GUARD","C-130",NA,"Laysan albatross","Aircraft ran over the chick while turning around at the end of the runway. Tire, aircraft ran over chick while turning around at the end of the runway. Laysan Albatross chick"
1508262,2007-09-13,"ONTARIO INTL ARPT","CA","SOUTHWEST AIRLINES","B-737-7",NA,"Golden eagle","ID BY SMITHSONIAN, FAA 2144. HIT ON APCH TO 26R. POSSIBLE INGESTION. A/C WAS HELD OVER FOR 24HRS BY MX. NO DMG. AIRLINE SAID IT WOULD BE DIFFICULT TO DETERMINE HIDDEN COSTS FOR THIS INCIDENT."
1510595,2023-05-09,"RENO TAHOE INTL","NV","SOUTHWEST AIRLINES","B-737-7",NA,"Golden eagle","WINGLET. Model737-7BD, Engine ManufacturerCFM INTL.ClassificationStandardEngine ModelCFM56 SERIESSmithsonian Wildlife Identification Comments:both samples received = Golden Eagle"
1514538,2024-03-03,"EAGLE COUNTY REGIONAL","CO","AMERICAN AIRLINES","A-319",NA,"Golden eagle","A319-115, Engine ManufacturerCFM INTLClassificationStandardEngine ModelCFM56-5B6    ONE PHOTOSmithsonian Wildlife/Species Identification:Golden eagle (Aquila chrysaetos)SECOND REPORT:Bird strike produced 2 dents in fuselage below captain's window. MOR: AAL409 LANDED RWY 25 AND UPON LANDING ADVISED LOCAL CONTROL THAT HE HAD A BIRD STRIKE ON A 1 MILE FINAL.  WE ASKED IF ANY ASSISTANCE WAS REQUIRED AND HE ADVISED US NOT AT THIS TIME AND THAT HE NEEDED TO CONTACT HIS OPS AND ADVISE THEM.  WHEN SWTICHED TO GROUND HE REPORTED THAT ALL ENGINES ARE GOOD AND HE COULDNT SEE ANY DAMAGE AT THIS TIME AND THAT HE WILL ADVISE THE TOWER IF HE FINDS ANY.  AAL409 REPORTS THAT THE BIRD WAS MOST LIKELY A HAWK OR BUZZARD"
1514798,2023-11-21,"UNKNOWN",NA,"BUSINESS","EC135",160621,"Hooded merganser","MEDICAL TRANSPORT. Pilot and copilot windscreens broken out, damage to vertical tail fin, cabin door interior, upper pylon cowling, 3 main rotor blades.  Some damage caused by flying Plexiglas when windscreens were shattered, as multiple pieces flew both into the cockpit and up over the airframe; damage to pylon cowling and rotor blades likely caused by Plexiglas due to nature of damage. Some minor cuts to 2 crewmembers in cockpit due to Plexiglas shards.Smithsonian Wildlife/Species Identification:Hooded merganser (Lophodytes cucullatus)Smithsonian Wildlife Identification Comments:One set of remains received. Multiple birds hit.FOUR PHOTOSSECOND REPORT:MEDICAL TRANSPORT. Event ID:805205. DODGE CENTER, MN: N423NM, EC135, REPORTED FLYING THROUGH A FLOCK OF DUCKS WHILE ENROUTE BACK TO FARIBAULT MUNICIPAL AIRPORT (FBL), FARIBAULT MN. POB: 3, INJURIES: MINOR, DAMAGE: EXTENT UNKNOWN. 11/22/2023 0300Z. NORTH MEMORIAL HEALTH CARENTSB CEN24LA053 PRELIMINARY"
1517066,2024-03-21,"AUSTIN-BERGSTROM INTL","TX","UNKNOWN","UNKNOWN",NA,"Sprague's pipit","Remains of one (1) bird found during routine airfield inspection by AUS Airside Operations personnel (OPS 223). The remains were found on RWY 36L near intersection with TWY T.  Light precipitation at the time of the finding. No recent reports from pilots or ATCT of a wildlife strike, however given the location, assume that the remains are the result of a bird strike and all findings documented according to FAA guidelines.  Three (3) images uploaded to FAA strike database. 9:28 DAY. Smithsonian Wildlife/Species Identification:Sprague's pipit (Anthus spragueii)THREE PHOTOS"
1524187,2019-07-25,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","DAY. NOTE: NUMBER STRUCK NOT REPORTED .DAY."
1525642,2021-04-12,"DENVER INTL AIRPORT","CO","UNKNOWN","UNKNOWN",NA,"Golden eagle","Found during regular morning inspection, cut in two pieces. 9:30 DAY .DAY."
1525752,2021-05-20,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","Common Pauraque .DAY."
1527919,2023-04-20,"WILL ROGERS WORLD ARPT","OK","UNKNOWN","UNKNOWN",NA,"Sprague's pipit","Unreported strike. Remains found during runway inspection. DAWN. 7 PHOTOS.  .DAY."
1527995,2023-04-23,"DENVER INTL AIRPORT","CO","UNKNOWN","UNKNOWN",NA,"Golden eagle","One bird removed 17R. DAY .DAY."
1533166,2023-07-09,"JOE FOSS FIELD ARPT","SD","UNKNOWN","UNKNOWN",NA,"Bald eagle","Pilot from Endeavor DL5498 reported FOD to ATCT upon landing at 0943 local. Operations inspected the runway to find multiple pieces of the bald eagle on the runway, spread out for about 200 yards. Operations conferred with ATCT and no strike was reported prior to that; Endeavor crew conferred with to find out if they possibly ran it over, but they reported they believe they steered clear of it. UA1820 to DEN took off from the same runway at 0932. Operations advised UAL Operations to reach out to the DEN crew to notify them of potential strike, but no word has come back as of the time of this report. Wildlife Services has attached photos that Operations took while inspecting runway and will send snarge to Smithsonian, but believes it to be a juvenile bad eagle. FIVE PHOTOS. DAY. .DAY."
1533566,2023-09-12,"MC ALLEN MILLER INTL","TX","UNKNOWN","UNKNOWN",NA,"Common pauraque","MULTIPLE SPECIES . DAY. 2 Barn Swallows and 1 Common Pauraque .DAY."
1534060,2024-02-25,"CHARLES M. SCHULZ-SONOMA COUNTY ARPT","CA","UNKNOWN","UNKNOWN",NA,"Golden eagle","DAY. TWO PHOTOSSmithsonian Wildlife/Species Identification:Golden eagle (Aquila chrysaetos) .DAY."
1534473,2024-01-23,"DENVER INTL AIRPORT","CO","UNKNOWN","UNKNOWN",NA,"Lapland longspur","Carcass found on RWY CL adjacent to R3. No strike reported. NIGHT"
1534583,2024-02-06,"DENVER INTL AIRPORT","CO","SOUTHWEST AIRLINES","B-737-8",NA,"Thick-billed longspur","One bird removed Rwy 17L at P6. 737-8, CFM INTLClassificationStandardEngine ModelLEAP-1B28 SER"
1542382,2024-04-15,"LIHUE ARPT","HI","UNITED AIRLINES","B-737-800",NA,"Hawaiian goose","Reported bird strike - USDA Wildlife Services Technician(CT) responded to call and recovered one dead bird from Runway 3 and Delta Taxiway intersection. Hawaiian Nene Goose. Bird remains recovered GPS: Lattitude 21. 979624 Longitude 159.343327. MOR: UAL 3900 REPORT BIRDSTRIKE DEPARTING LIH RY 3.  AIRPORT OPERATIONS RECOVERED A NENE GOOSE. NO DAMAGE REPORTED TO  AIRCRAFT. Model: 737-8. Engine Manufacturer: CFM INTL. Engine Model: LEAP-1B28 SER."
1542619,2024-04-26,"CORPUS CHRISTI INTL ARPT","TX","ENVOY AIR","EMB-170",NA,"Unknown bird - medium","While descending through 7500 feet MSL approximately 17 miles north of the JAGRU waypoint, I saw something flash in front of us and a loud thud on the front of the plane. The descent, approach and landing continued normally. After landing, I observed a bird strike on the nose of the plane near the #2 ice detector. From the ground, it did not look like there was any damage to the plane. ASSUME 1 STRUCK. ONE PHOTOMOR:ENY3686 REPORTED A BIRD STRIKE 23 MILES NORTH OF CORPUS AT 7500 FEET, DID NOT DECLARE AN EMERGENCY AND NO DAMAGE TO THE AIRCRAFT WAS REPORTED."
1545248,2024-05-09,"UNKNOWN",NA,"UNITED AIRLINES","B-737-900",NA,"Savannah sparrow","No damage. All that was left was a smear of snarge and feathers. Pilots did not realize they hit a bird until they landed and the ramp crew noticed the snarge. FOUND KBTV. NIGHTSmithsonian Wildlife/Species Identification:Savannah sparrow (Passerculus sandwichensis)737-900ER, Engine ManufacturerCFM INTLClassificationStandardEngine ModelCFM56-7B27E/F   TWO PHOTOS"
1555634,2014-11-07,"WATSONVILLE MUNICIPAL ARPT","CA","UNKNOWN","UNKNOWN",NA,"Peregrine falcon","BANDED SAN FRANCISCO (77 BEALE STREET), CA, CODE 39 REPORT SUBMITTED TO BBL SAID THEY FOUND PIECES OF BIRD AROUND RWY AT KWVI. USGS BAND 194702973"
1568785,2024-07-11,"DALLAS LOVE FIELD ARPT","TX","UNKNOWN","UNKNOWN",NA,"Parakeets","09:48. DAY."
1575694,2024-08-03,"DENVER INTL AIRPORT","CO","UNKNOWN","UNKNOWN",NA,"Calliope hummingbird","Carcass found on TWY WC at RWY EL for 16R. No strike reported 06:02. REMOVED NUMBER SEEN"
1580943,2024-08-31,"DANIEL K. INOUYE INTERNATIONAL AIRPORT","HI","UNKNOWN","UNKNOWN",NA,"Hawaiian duck","Two Hawaiian Duck carcasses found on the north shoulder of 8L near the 8K DRM during routine inspection. 06:55"
1603761,2024-09-08,"BROWNWOOD REGIONAL ARPT","TX","BUSINESS","C-152",NA,"Unknown bird - small","There was a bunch of birds, probably 10-15. Tried to avoid by going around but that was inevitable. Hit three on the left wing. No damage to the aircraft. There was blood and feathers on the fuselage so I will believe the birds go striked well. Left wing, and enig strut. NOTE: OWNER/ OPERATOR= WINGS OVER TEXAS HOLDINGS LLC/ US AVIATION ACADEMY."
1604498,2024-09-10,"ELLINGTON FIELD ARPT","TX","GOVERNMENT","T-38N",NA,"Buff-breasted sandpiper","Smithsonian Wildlife/Species Identification:Buff-breasted sandpiper (Calidris subruficollis)NATIONAL AERONAUTICS AND SPACE ADMINISTRATION"
1604500,2024-09-10,"UNKNOWN",NA,"GOVERNMENT","T-38N",NA,"Buff-breasted sandpiper","NATIONAL AERONAUTICS AND SPACE ADMINISTRATIONSmithsonian Wildlife/Species Identification:Buff-breasted sandpiper (Calidris subruficollis). FOUND KEFD"
1604989,2024-09-13,"ELLINGTON FIELD ARPT","TX","GOVERNMENT","T-38N",NA,"Buff-breasted sandpiper","NATIONAL AERONAUTICS AND SPACE ADMINISTRATION. Smithsonian Wildlife/Species Identification:Buff-breasted sandpiper (Calidris subruficollis)"
1605274,2019-11-15,"WARNER SPRINGS GLIDERPORT","CA","PRIVATELY OWNED","EXPERIMENTAL",7356,"Golden eagle","Bird seemed to aggressively dive at glider while thermalling. Struck leading edge of right wing, damaging it. No control issues, landed normally. Estimated out of service is 1 month. NOTE: OWNER/ OPERATOR= GLENN THOMAS D. Aircraft time out of service = 2 months. While I was thermaling, the bird aggressively dived towards me and struck my wing (leading edge). Caused a 18"" x 6"" bloody gash. Flight characteristics unaffected. Reported by owner, Note - this online report entered by Smithsonian after receiving remains for ID + FAA form 5200-7. Manufacturer Name SCHEMPP-HIRTH  Model DISCUS-2B, ClassificationExperimental, ModelDISCUS-2BExpiration Date01/31/2029Type AircraftGliderNOTE: BIRD MIGHT HAVE ATTACKED AIRCRAFT"
1607611,2024-09-23,"DENVER INTL AIRPORT","CO","UNITED AIRLINES","A-320",NA,"Green-tailed towhee","Model: A320-232. Engine Manufacturer: IAE. Engine Model: V2500SERIES."
1608565,2024-09-29,"EVANSVILLE REGIONAL","IN","ENDEAVOR AIR","CRJ900",NA,"Yellow rail","strike on the starboard side of the nose x1strike on the starboard wing landing light x1strike on the starboard wing leading edge x1. Smithsonian Wildlife/Species Identification:Yellow rail (Coturnicops noveboracensis)"
1611109,2024-10-08,"DALLAS/FORT WORTH INTL ARPT","TX","UNKNOWN","UNKNOWN",NA,"Sprague's pipit","RWY 17L APCH ON RWY 13L, FOUND RIGHT INLINE WITH APCH LIGHTING FOR 17L, 13L NOT IN USE AT TIME OF FINDING. 8:27. Smithsonian Wildlife/Species Identification:Sprague's pipit (Anthus spragueii). TWO PHOTOS"
1612688,2024-10-04,"INCHEON INTL","FN","HAWAIIAN AIR","A-330",NA,"Mugimaki flycatcher","Found SEA MX no damage. SI ID= Mugimaki flycatcher (Ficedula mugimaki)- Species indicates that strike occurred several legs prior to discovery at Incheon International Airport, Seoul, South Korea on Oct. 4, 2024.  NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1."
1613457,2024-10-13,"DALLAS/FORT WORTH INTL ARPT","TX","AMERICAN AIRLINES","A-321",NA,"Sprague's pipit","RWY 17C, 1000' from App End. A321-231, Engine ManufacturerIAEClassificationStandardEngine ModelV2533-A5Smithsonian Wildlife/Species Identification:Sprague's pipit (Anthus spragueii)Insect (Insecta)Smithsonian Wildlife Identification Comments:Two samples sent to the Smithsonian for identification. Sample #1 = Insect. Sample #2 = Sprague's Pipit. FOUR PHOTOS"
1616951,2024-10-27,"WILMINGTON INTL","NC","UNKNOWN","UNKNOWN",NA,"Glaucous gull","Bird intestines came out. 10:10"
1617275,2024-10-29,"DENVER INTL AIRPORT","CO","SOUTHWEST AIRLINES","B-737-8",NA,"Raccoon","Just after touchdown we encountered a large pack of raccoons crossing the runway. The raccoons went around/underneath the aircraft. Denver tower was notified. The aircraft was inspected by SWA maintenance and no evidence of strike or aircraft damage was discovered. No damage/animal strike detected. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1. Model: 737-8H4. Engine Manufacturer: CFM INTL. Engine Model: CFM56-7B27E."
1617419,2024-10-31,"AUSTIN-BERGSTROM INTL","TX","UNITED AIRLINES","A-320",NA,"Sprague's pipit","At approximately 1215 hrs, United tech ops reported they discovered bird snarge on the left side radome during the post flight walk around. United tech ops stated that the flight crew wrote a report of a bird strike in their log books. No official bird strike was reported by the flight crew or ATCT. No damage was observed to the aircraft. Both RWY 28R and 28L was inspected with negative results. Snarge will be sent to Smithsonian. SI ID= Sprague's pipit (Anthus spragueii)- Species is out of range for SFO - it is likely that this strike occurred on takeoff from AUS. Snarge found on left side radome. NOTE: NUMBER STRUCK NOT REPORTED ASSUME 1. Model: A320-232. Engine Manufacturer: IAE. Engine Model: V2500SERIES."
1618722,2024-08-17,"BISMARCK MUNICIPAL ARPT","ND","BUSINESS","C-172",NA,"Sprague's pipit","NO DAMAGE OR INJURIES REPORTED. MOR: N65471 (C172) WAS INBOUND FROM THE NORTHWEST.  N65471 WAS CLEARED FOR THE ILS RWY 13 APPROACH BY APPROACH AND SWITCHED TO TOWER ON 118.3.  N65471 HAD REQUESTED TO DO AN OPTION CLEARANCE AND ON THE GO WOULD PICK UP HIS CLEARANCE TO KMOT.  THE LOCAL CONTROLLER CLEARED N65471 FOR THE OPTION RWY 13.  N65471 DID A FULL STOP LANDING AND REPORTED HE HAD STRUCK A BIRD ABOUT 10 FT AGL ON THE APPROACH END OF RWY 13.  N65471 WAS GIVEN TAXI INSTRUCTIONS TO THE FBO.  THE PILOT IN CHARGE OF N65471 REPORTED NO DAMAGE AND JUST A BLOOD SPLATTER ON THE LEFT WING; NO INJURIES WERE REPORTED.  AIRPORT OPERATIONS WAS NOTIFIED AND A FIELD INSPECTION WAS CONDUCTED RESULTING IN THE CARCASS OF A SPRAGUES PIPIT.  AFTER THE STRIKE, BIRDS WAS PUT ON THE ATIS AND FOLLOW ON ARRIVALS WERE GIVEN ADDITIONAL WARNINGS ON LANDING CLEARANCES.  THE JSEN WAS NOTIFIED WITH THE INITIALS OF RZ ON THE RECEIVING END OF JSEN.  THE ATM WAS NOTIFIED VIA VOICE MAIL. EFAA 5200-7 SUBMITED.OVERLAND AVIATION LLC. Left mid wing"
